card_id,domain,domain_int,objective,subobjective,deck_id,deck_name,front,back,explanation,cli_config,cli_verify,common_mistakes,tags,difficulty,version,is_premium,status,card_num,sort_key
D2-031,2.0,2,2.2,2.2.f,D2-access-vs-trunk-ports,Access vs Trunk Ports,What happens if an access port receives tagged frames?,The frames are dropped.,Access ports expect untagged traffic. Tagged frames are discarded because they do not match the configured access VLAN.,interface g0/1 ; switchport mode access,show interfaces switchport,Thinking access ports accept tags,"vlan,access-port,troubleshooting",2,v1.1,True,published,31,2-031
D2-032,2.0,2,2.2,2.2.g,D2-8021q-trunking,802.1Q Trunking,What command verifies the native VLAN on a trunk?,show interfaces trunk.,This command displays the native VLAN and allowed VLANs on trunk interfaces.,,show interfaces trunk,Assuming VLAN 1 is always native,"trunk,native-vlan,cli",2,v1.1,True,published,32,2-032
D2-033,2.0,2,2.2,2.2.h,D2-8021q-trunking,802.1Q Trunking,What issue can a native VLAN mismatch cause?,Connectivity and security issues.,Mismatched native VLANs can cause traffic leaks and STP inconsistencies.,interface g0/1 ; switchport trunk native vlan 99,show interfaces trunk,Leaving default native VLAN,"native-vlan,security,trunk",3,v1.1,True,published,33,2-033
D2-034,2.0,2,2.3,2.3.c,D2-dtp,DTP,What command disables DTP on a trunk port?,switchport nonegotiate.,This prevents the interface from sending DTP frames and forming unintended trunks.,interface g0/1 ; switchport nonegotiate,show dtp interface g0/1,Assuming trunk mode disables DTP,"dtp,trunk,security",2,v1.1,True,published,34,2-034
D2-035,2.0,2,2.4,2.4.d,D2-etherchannel,EtherChannel,Why does STP treat EtherChannel as one link?,To prevent blocking individual member links.,EtherChannel bundles links into one logical interface so STP sees it as a single path.,interface range g0/1-2 ; channel-group 1 mode active,show spanning-tree,Assuming STP blocks members individually,"etherchannel,stp,loops",3,v1.1,True,published,35,2-035
D2-036,2.0,2,2.4,2.4.e,D2-etherchannel,EtherChannel,What happens if one EtherChannel member fails?,Traffic continues over remaining links.,EtherChannel provides redundancy and load sharing across active member links.,interface range g0/1-2 ; channel-group 1 mode active,show etherchannel summary,Assuming channel goes down entirely,"etherchannel,redundancy",2,v1.1,True,published,36,2-036
D2-037,2.0,2,2.5,2.5.i,D2-stp-operations,STP Operations,What port state does STP place a blocked port in?,Discarding.,Blocked ports do not forward frames but still listen for BPDUs.,,show spanning-tree,Confusing blocking with shutdown,"stp,port-state",2,v1.1,True,published,37,2-037
D2-038,2.0,2,2.5,2.5.j,D2-stp-operations,STP Operations,What STP timers control convergence?,"Hello, Forward Delay, Max Age.",These timers affect how quickly STP responds to topology changes.,,show spanning-tree detail,Thinking timers are automatic,"stp,timers,convergence",3,v1.1,True,published,38,2-038
D2-039,2.0,2,2.5,2.5.k,D2-stp-troubleshooting,STP Troubleshooting,What command shows STP port roles and states?,show spanning-tree.,"This command displays root bridge, port roles, and forwarding states.",,show spanning-tree,Using interface status only,"stp,cli,verification",2,v1.1,True,published,39,2-039
D2-040,2.0,2,2.5,2.5.l,D2-stp-troubleshooting,STP Troubleshooting,What causes STP topology changes?,Links going up or down.,"STP recalculates when ports transition states, temporarily increasing CPU usage.",,show spanning-tree detail,Assuming STP never recalculates,"stp,topology-change",2,v1.1,True,published,40,2-040
D2-041,2.0,2,2.6,2.6.f,D2-wireless-security,Wireless Security,What does WPA2-PSK use for authentication?,A shared pre-shared key.,WPA2-PSK is common in small networks and uses the same key for all clients.,,,Using weak passwords,"wireless,wpa2,security",1,v1.1,True,published,41,2-041
D2-042,2.0,2,2.6,2.6.g,D2-wireless-security,Wireless Security,Why is WPA3 more secure than WPA2?,It uses stronger encryption and handshake protection.,WPA3 protects against offline dictionary attacks and improves key exchange.,,,Assuming WPA3 is backward compatible,"wireless,wpa3,security",2,v1.1,True,published,42,2-042
D2-043,2.0,2,2.6,2.6.h,D2-wireless-operations,Wireless Operations,What command verifies AP join status on a WLC?,show ap summary.,This command lists APs connected to the controller.,,show ap summary,Looking only at switch ports,"wireless,wlc,cli",2,v1.1,True,published,43,2-043
D2-044,2.0,2,2.6,2.6.i,D2-wireless-operations,Wireless Operations,What happens if a lightweight AP loses WLC connectivity?,It stops accepting new clients.,APs rely on the controller for management and security policies.,,,Thinking APs operate autonomously,"wireless,wlc,ap",2,v1.1,True,published,44,2-044
D2-045,2.0,2,2.7,2.7.f,D2-device-management,Device Management,What command verifies SSH is enabled?,show ip ssh.,This command displays SSH version and timeout settings.,,show ip ssh,SSH configured but disabled,"ssh,cli,management",2,v1.1,True,published,45,2-045
D2-046,2.0,2,2.7,2.7.g,D2-device-management,Device Management,What does line vty control?,Remote management access.,VTY lines control Telnet and SSH access to the device.,line vty 0 4,show running-config,Leaving VTY unsecured,"vty,ssh,security",2,v1.1,True,published,46,2-046
D2-047,2.0,2,2.7,2.7.h,D2-device-management,Device Management,What happens if transport input ssh is configured?,Only SSH connections are allowed.,This disables Telnet and enforces encrypted management.,line vty 0 4 ; transport input ssh,show running-config,Leaving Telnet enabled,"ssh,security,management",2,v1.1,True,published,47,2-047
D2-048,2.0,2,2.7,2.7.i,D2-device-management,Device Management,What command shows current users logged in?,show users.,This command lists active console and VTY sessions.,,show users,Thinking logs show sessions,"cli,users,management",1,v1.1,True,published,48,2-048
D2-049,2.0,2,2.7,2.7.j,D2-device-management,Device Management,Why should configuration changes be saved?,Running-config is lost on reload.,Unsaved changes are erased when the device reboots.,,show startup-config,Assuming auto-save,"config,management",1,v1.1,True,published,49,2-049
D2-050,2.0,2,2.7,2.7.k,D2-device-management,Device Management,What command clears err-disabled ports after BPDU Guard?,errdisable recovery.,Allows automatic recovery of ports after a violation.,errdisable recovery cause bpduguard,show errdisable recovery,Manually shutting ports,"errdisable,stp,recovery",3,v1.1,True,published,50,2-050
D2-051,2.0,2,2.5,2.5.m,D2-stp-protections,STP Protections,What does BPDU Guard protect against?,Accidental switch connections on edge ports.,"It shuts down a port that receives BPDUs, preventing loops.",interface g0/2 ; spanning-tree bpduguard enable,show spanning-tree interface g0/2 detail,Using BPDU Filter instead,"stp,bpduguard,security",2,v1.1,True,published,51,2-051
D2-052,2.0,2,2.5,2.5.n,D2-stp-protections,STP Protections,What does Root Guard enforce?,Prevents root bridge changes.,Root Guard blocks ports receiving superior BPDUs.,interface g0/1 ; spanning-tree guard root,show spanning-tree inconsistentports,Using on access ports,"stp,root-guard",2,v1.1,True,published,52,2-052
D2-053,2.0,2,2.4,2.4.f,D2-etherchannel,EtherChannel,What load-balancing methods are used in EtherChannel?,"MAC, IP, or port-based hashing.",EtherChannel distributes traffic based on hashing algorithms.,,show etherchannel load-balance,Assuming equal traffic always,"etherchannel,load-balancing",3,v1.1,True,published,53,2-053
D2-054,2.0,2,2.2,2.2.i,D2-8021q-trunking,802.1Q Trunking,What happens if allowed VLAN list does not match on both ends?,Traffic for missing VLANs is dropped.,VLANs not allowed on both sides will not traverse the trunk.,interface g0/1 ; switchport trunk allowed vlan 10,show interfaces trunk,Assuming VLAN auto-syncs,"trunk,vlan,troubleshooting",2,v1.1,True,published,54,2-054
D2-055,2.0,2,2.6,2.6.j,D2-wireless-design,Wireless Design,What is channel reuse?,Using the same channel in non-overlapping areas.,Proper reuse increases capacity without causing interference.,,,Reusing channels too closely,"wireless,design,channels",2,v1.1,True,published,55,2-055
D2-056,2.0,2,2.6,2.6.k,D2-wireless-design,Wireless Design,Why are non-overlapping channels important?,To minimize interference.,Especially critical in the 2.4 GHz band where channels overlap heavily.,,,Using adjacent channels,"wireless,interference",1,v1.1,True,published,56,2-056
D2-057,2.0,2,2.7,2.7.l,D2-device-management,Device Management,What does copy startup-config running-config do?,Merges saved config into active config.,This is useful for restoring saved settings without rebooting.,copy startup-config running-config,show running-config,Overwriting configs,"config,cli,management",2,v1.1,True,published,57,2-057
D2-058,2.0,2,2.7,2.7.m,D2-device-management,Device Management,What command shows device model and memory?,show version.,"Displays hardware platform, memory, IOS version, and uptime.",,show version,Using inventory only,"cli,hardware,ios",1,v1.1,True,published,58,2-058
D2-059,2.0,2,2.6,2.6.l,D2-wireless-troubleshooting,Wireless Troubleshooting,What indicates excessive wireless interference?,High retries and low throughput.,Interference causes retransmissions and degraded performance.,,,Assuming signal strength alone,"wireless,troubleshooting",2,v1.1,True,published,59,2-059
D2-060,2.0,2,2.7,2.7.n,D2-device-management,Device Management,Why is configuration backup important?,To recover quickly from failures.,Backups allow rapid restoration after hardware or configuration failures.,,,No backup strategy,"config,backup,management",1,v1.1,True,published,60,2-060
D3-001,3.0,3,3.1,3.1.a,D3-routing-concepts,Routing Concepts,What is the purpose of a routing table?,To determine the best path to forward packets.,Routers consult the routing table to decide where to send packets based on destination IP addresses.,,show ip route,Confusing routing table with ARP table,"routing,table,forwarding",1,v1.1,True,published,1,3-001
D3-002,3.0,3,3.1,3.1.b,D3-routing-concepts,Routing Concepts,What does a connected route represent?,A directly connected network.,Connected routes appear automatically when an interface is up and has an IP address configured.,interface g0/0 ; ip address 192.168.1.1 255.255.255.0,show ip route connected,Thinking routes must be manually added,"routing,connected,interfaces",1,v1.1,True,published,2,3-002
D3-003,3.0,3,3.1,3.1.c,D3-routing-concepts,Routing Concepts,What does the letter C indicate in the routing table?,Connected route.,The route code C identifies networks directly connected to the router.,,show ip route,Mixing up route codes,"routing,codes,cli",1,v1.1,True,published,3,3-003
D3-004,3.0,3,3.2,3.2.a,D3-path-selection,Path Selection,What is Administrative Distance (AD)?,A value that ranks route sources by trustworthiness.,Lower AD values are preferred when multiple routes exist to the same destination.,,show ip route,Thinking metric overrides AD,"admin-distance,routing",2,v1.1,True,published,4,3-004
D3-005,3.0,3,3.2,3.2.b,D3-path-selection,Path Selection,Which route is preferred: AD 90 or AD 110?,AD 90.,Routes with lower administrative distance are selected over higher values.,,show ip route,Choosing higher AD,"routing,ad,priority",1,v1.1,True,published,5,3-005
D3-006,3.0,3,3.2,3.2.c,D3-path-selection,Path Selection,What is the metric used by OSPF?,Cost.,"OSPF calculates cost based on bandwidth, preferring higher-speed links.",,show ip ospf interface,Confusing OSPF metric with hop count,"ospf,cost,routing",2,v1.1,True,published,6,3-006
D3-007,3.0,3,3.3,3.3.a,D3-static-routing,Static Routing,What is a static route?,A manually configured route.,Static routes are simple and predictable but do not adapt automatically to network changes.,ip route 10.10.10.0 255.255.255.0 192.0.2.1,show ip route static,Forgetting next-hop reachability,"static-route,routing",1,v1.1,True,published,7,3-007
D3-008,3.0,3,3.3,3.3.b,D3-static-routing,Static Routing,What is a default route?,A route used when no specific match exists.,Default routes are often used to send traffic toward an ISP or upstream router.,ip route 0.0.0.0 0.0.0.0 203.0.113.1,show ip route,Using default route internally,"static-route,default",1,v1.1,True,published,8,3-008
D3-009,3.0,3,3.3,3.3.c,D3-static-routing,Static Routing,What is a floating static route?,A backup route with a higher AD.,Floating static routes are installed only when the primary route fails.,ip route 10.10.10.0 255.255.255.0 192.0.2.2 200,show ip route,Setting AD too low,"static-route,backup",2,v1.1,True,published,9,3-009
D3-010,3.0,3,3.4,3.4.a,D3-route-lookup,Route Lookup,What is longest prefix match?,The most specific route is chosen.,The router selects the route with the longest matching subnet mask for the destination IP.,,show ip route,Thinking AD overrides prefix length,"routing,lpm",2,v1.1,True,published,10,3-010
D3-011,3.0,3,3.4,3.4.b,D3-route-lookup,Route Lookup,Which route is chosen: /24 or /16?,/24.,A longer prefix (/24) is more specific and preferred over a shorter one (/16).,,show ip route,Mixing prefix and metric,"routing,prefix",1,v1.1,True,published,11,3-011
D3-012,3.0,3,3.4,3.4.c,D3-route-lookup,Route Lookup,When is AD considered during route selection?,When multiple routes have the same prefix length.,AD is used to choose between routes from different sources with identical prefixes.,,show ip route,Thinking AD is always first,"admin-distance,routing",2,v1.1,True,published,12,3-012
D3-013,3.0,3,3.5,3.5.a,D3-ospf-basics,OSPF Basics,What type of OSPF does CCNA cover?,Single-area OSPFv2.,CCNA focuses on basic OSPF concepts in a single-area deployment.,,show ip protocols,Studying multi-area OSPF too early,"ospf,ccna",1,v1.1,True,published,13,3-013
D3-014,3.0,3,3.5,3.5.b,D3-ospf-basics,OSPF Basics,What does OSPF use to discover neighbors?,Hello packets.,Hello packets establish and maintain OSPF neighbor relationships.,,show ip ospf neighbor,Assuming routes appear instantly,"ospf,neighbors",2,v1.1,True,published,14,3-014
D3-015,3.0,3,3.5,3.5.c,D3-ospf-basics,OSPF Basics,What must match for OSPF neighbors to form?,"Area ID, hello/dead timers, network type, authentication.",Mismatches in these parameters prevent adjacency formation.,,show ip ospf neighbor detail,Only checking IP connectivity,"ospf,adjacency",3,v1.1,True,published,15,3-015
D3-016,3.0,3,3.5,3.5.d,D3-ospf-configuration,OSPF Configuration,How do you enable OSPF on an interface?,Using the network statement or interface command.,OSPF can be enabled globally with network statements or per-interface.,router ospf 1 ; network 10.0.0.0 0.0.0.255 area 0,show ip ospf interface,Wrong wildcard mask,"ospf,configuration",2,v1.1,True,published,16,3-016
D3-017,3.0,3,3.5,3.5.e,D3-ospf-configuration,OSPF Configuration,What is the router ID in OSPF?,A unique identifier for the router.,Router ID is chosen by highest loopback IP or manually configured value.,router ospf 1 ; router-id 1.1.1.1,show ip ospf,Assuming RID changes automatically,"ospf,router-id",2,v1.1,True,published,17,3-017
D3-018,3.0,3,3.6,3.6.a,D3-fhrp-concepts,FHRP Concepts,What is FHRP used for?,Default gateway redundancy.,FHRPs provide high availability for default gateways.,,,Confusing FHRP with routing,"protocols,availability",1,v1.1,True,published,18,3-018
D3-019,3.0,3,3.6,3.6.b,D3-fhrp-concepts,FHRP Concepts,Name an example of an FHRP.,HSRP.,HSRP is a Cisco proprietary FHRP providing gateway redundancy.,,show standby brief,Thinking HSRP routes traffic,"fhrp,hsrp",1,v1.1,True,published,19,3-019
D3-020,3.0,3,3.6,3.6.c,D3-fhrp-concepts,FHRP Concepts,What happens when the active router fails in HSRP?,The standby router becomes active.,This ensures continuous gateway availability for hosts.,,show standby brief,Assuming hosts need reconfiguration,"fhrp,failover",2,v1.1,True,published,20,3-020
D3-021,3.0,3,3.1,3.1.d,D3-routing-concepts,Routing Concepts,What is a local route?,A route that represents the router’s own interface IP address.,Local routes identify the exact IP assigned to an interface and appear with the code L in the routing table.,,show ip route local,Confusing local with connected routes,"routing,local,interfaces",2,v1.1,True,published,21,3-021
D3-022,3.0,3,3.1,3.1.e,D3-routing-concepts,Routing Concepts,What does the letter S indicate in the routing table?,Static route.,The route code S identifies manually configured static routes.,,show ip route static,Mixing static and connected routes,"routing,static,cli",1,v1.1,True,published,22,3-022
D3-023,3.0,3,3.2,3.2.d,D3-path-selection,Path Selection,When does a router use the routing metric?,When routes have the same prefix length and AD.,The metric is used to choose the best path within the same routing protocol.,,show ip route,Thinking metric beats AD,"admin-distance,metric,routing",2,v1.1,True,published,23,3-023
D3-024,3.0,3,3.2,3.2.e,D3-path-selection,Path Selection,What happens if two routes have equal cost?,The router may perform load balancing.,Equal-cost routes can be used simultaneously to distribute traffic.,,show ip route,Assuming only one path is used,"routing,load-balancing",2,v1.1,True,published,24,3-024
D3-025,3.0,3,3.3,3.3.d,D3-static-routing,Static Routing,What is a host route?,A route to a single IP address.,"Host routes use a /32 mask and are very specific, often used for precise control.",ip route 192.168.1.10 255.255.255.255 192.0.2.1,show ip route 192.168.1.10,Using host routes unnecessarily,"static-route,host-route",2,v1.1,True,published,25,3-025
D3-026,3.0,3,3.3,3.3.e,D3-static-routing,Static Routing,What is a directly attached static route?,A static route that points to an exit interface.,This type of route is common on point-to-point links.,ip route 10.10.20.0 255.255.255.0 g0/0,show ip route,Using on multi-access networks,"static-route,interface",2,v1.1,True,published,26,3-026
D3-027,3.0,3,3.3,3.3.f,D3-static-routing,Static Routing,What happens if the next-hop interface goes down?,The route is removed from the routing table.,Routes dependent on an interface are withdrawn when the interface is down.,,show ip route,Assuming static routes stay forever,"static-route,interfaces",2,v1.1,True,published,27,3-027
D3-028,3.0,3,3.4,3.4.d,D3-route-lookup,Route Lookup,What does the routing table lookup process use first?,Longest prefix match.,The router always looks for the most specific match before considering AD or metric.,,show ip route,Thinking lookup starts with default route,"routing,lookup,lpm",2,v1.1,True,published,28,3-028
D3-029,3.0,3,3.4,3.4.e,D3-route-lookup,Route Lookup,When is the default route used?,When no more specific route exists.,The default route is a catch-all path used only if nothing else matches.,,show ip route,Assuming default always preferred,"default-route,routing",1,v1.1,True,published,29,3-029
D3-030,3.0,3,3.5,3.5.f,D3-ospf-basics,OSPF Basics,What is the OSPF area used in CCNA?,Area 0.,Single-area OSPF uses the backbone area (Area 0) for all routing.,,show ip ospf,Studying multi-area OSPF,"ospf,area0",1,v1.1,True,published,30,3-030
D3-031,3.0,3,3.5,3.5.g,D3-ospf-basics,OSPF Basics,What state indicates OSPF neighbors have exchanged routes?,Full.,The Full state means LSDBs are synchronized and routing can occur.,,show ip ospf neighbor,Thinking Init means adjacency,"ospf,neighbors,state",2,v1.1,True,published,31,3-031
D3-032,3.0,3,3.5,3.5.h,D3-ospf-basics,OSPF Basics,What is the role of the DR in OSPF?,To reduce adjacency overhead on multi-access networks.,The Designated Router minimizes the number of adjacencies required.,,show ip ospf neighbor,Assuming DR always forwards traffic,"ospf,dr,bdr",2,v1.1,True,published,32,3-032
D3-033,3.0,3,3.5,3.5.i,D3-ospf-basics,OSPF Basics,How is the DR elected?,"Highest OSPF priority, then highest Router ID.",DR election occurs per multi-access segment and does not change unless reset.,,show ip ospf interface,Thinking bandwidth affects DR,"ospf,dr,election",3,v1.1,True,published,33,3-033
D3-034,3.0,3,3.5,3.5.j,D3-ospf-configuration,OSPF Configuration,What command changes OSPF priority?,ip ospf priority.,This command influences DR/BDR election on an interface.,interface g0/0 ; ip ospf priority 100,show ip ospf interface,Setting priority globally,"ospf,priority,dr",3,v1.1,True,published,34,3-034
D3-035,3.0,3,3.5,3.5.k,D3-ospf-configuration,OSPF Configuration,What command verifies OSPF-enabled interfaces?,show ip ospf interface brief.,This command lists interfaces participating in OSPF.,,show ip ospf interface brief,Checking only routing table,"ospf,interfaces,cli",2,v1.1,True,published,35,3-035
D3-036,3.0,3,3.5,3.5.l,D3-ospf-troubleshooting,OSPF Troubleshooting,What causes OSPF neighbors to remain in INIT state?,Hello packets received but not acknowledged.,This often indicates mismatched network types or filters blocking packets.,,show ip ospf neighbor detail,Only checking IP addressing,"ospf,init-state,troubleshooting",3,v1.1,True,published,36,3-036
D3-037,3.0,3,3.5,3.5.m,D3-ospf-troubleshooting,OSPF Troubleshooting,What mismatch commonly prevents OSPF adjacency?,Hello/dead timer mismatch.,Both neighbors must use identical timers to form adjacency.,,show ip ospf interface,Assuming timers auto-match,"ospf,timers,adjacency",3,v1.1,True,published,37,3-037
D3-038,3.0,3,3.6,3.6.d,D3-fhrp-concepts,FHRP Concepts,What does preemption do in HSRP?,Allows a higher-priority router to take over as active.,Preemption ensures the preferred router resumes control when it returns.,,show standby brief,Assuming preemption is automatic,"fhrp,hsrp,preemption",2,v1.1,True,published,38,3-038
D3-039,3.0,3,3.6,3.6.e,D3-fhrp-concepts,FHRP Concepts,What command enables HSRP on an interface?,standby command.,HSRP is configured per interface with a virtual IP address.,interface g0/0 ; standby 1 ip 192.168.1.254,show standby brief,Configuring on wrong interface,"fhrp,hsrp,cli",3,v1.1,True,published,39,3-039
D4-040,3.0,3,3.6,3.6.f,D3-fhrp-troubleshooting,FHRP Troubleshooting,What verifies the active HSRP router?,show standby brief.,"This command displays HSRP state, priority, and active/standby roles.",,show standby brief,Looking at routing table only,"fhrp,verification",2,v1.1,True,published,40,3-040
D3-041,3.0,3,3.2,3.2.f,D3-path-selection,Path Selection,When does a router install multiple routes to the same destination?,When equal-cost routes exist.,"Equal-cost routes (same prefix length, AD, and metric) can be installed for load balancing.",,show ip route,Assuming only one route can exist,"routing,ecmp",2,v1.1,True,published,41,3-041
D3-042,3.0,3,3.2,3.2.g,D3-path-selection,Path Selection,How does Cisco routers perform load balancing by default?,Per-destination.,Per-destination load balancing uses hashing so packets for the same flow take the same path.,,show ip cef,Assuming per-packet by default,"routing,load-balancing,cef",2,v1.1,True,published,42,3-042
D3-043,3.0,3,3.3,3.3.g,D3-static-routing,Static Routing,What is a summary static route?,A route that represents multiple networks.,Summary routes reduce routing table size and improve efficiency.,ip route 10.10.0.0 255.255.0.0 192.0.2.1,show ip route,Over-summarizing networks,"static-route,summary",2,v1.1,True,published,43,3-043
D3-044,3.0,3,3.3,3.3.h,D3-static-routing,Static Routing,What happens if a static summary route points to a down next hop?,The summary route is removed.,The route is withdrawn if the next hop becomes unreachable.,,show ip route,Assuming summary routes persist,"static-route,availability",2,v1.1,True,published,44,3-044
D3-045,3.0,3,3.4,3.4.f,D3-route-lookup,Route Lookup,What is recursive routing?,When a route’s next hop must be resolved via another route.,Routers may perform multiple lookups to resolve a next-hop IP.,,show ip route,Thinking recursion is an error,"routing,recursive",2,v1.1,True,published,45,3-045
D3-046,3.0,3,3.4,3.4.g,D3-route-lookup,Route Lookup,What condition causes a route to be unresolved?,No route to the next hop.,"Without reachability to the next hop, the route cannot be installed.",,show ip route,Assuming static routes always work,"routing,troubleshooting",3,v1.1,True,published,46,3-046
D3-047,3.0,3,3.5,3.5.n,D3-ospf-verification,OSPF Verification,What command verifies OSPF routes in the routing table?,show ip route ospf.,This command displays routes learned via OSPF.,,show ip route ospf,Checking all routes only,"ospf,verification",2,v1.1,True,published,47,3-047
D3-048,3.0,3,3.5,3.5.o,D3-ospf-verification,OSPF Verification,What does the OSPF route code O indicate?,Intra-area route.,OSPF intra-area routes are learned within the same area.,,show ip route ospf,Mixing O and O IA,"ospf,routes",2,v1.1,True,published,48,3-048
D3-049,3.0,3,3.5,3.5.p,D3-ospf-verification,OSPF Verification,What does the route code O IA represent?,Inter-area OSPF route.,O IA routes come from another area via Area Border Routers (ABRs).,,show ip route ospf,Assuming CCNA requires ABR config,"ospf,inter-area",2,v1.1,True,published,49,3-049
D3-050,3.0,3,3.5,3.5.q,D3-ospf-troubleshooting,OSPF Troubleshooting,Why might OSPF routes not appear even with neighbors up?,LSDB mismatch or filtering.,Adjacency alone does not guarantee route installation.,,show ip ospf database,Assuming Full state guarantees routes,"ospf,lsdb,troubleshooting",3,v1.1,True,published,50,3-050
D3-051,3.0,3,3.5,3.5.r,D3-ospf-troubleshooting,OSPF Troubleshooting,What command shows the OSPF database?,show ip ospf database.,This displays LSAs known to the router.,,show ip ospf database,Using neighbor output only,"ospf,lsdb,cli",2,v1.1,True,published,51,3-051
D3-052,3.0,3,3.5,3.5.s,D3-ospf-troubleshooting,OSPF Troubleshooting,What can cause frequent OSPF flapping?,Interface instability or timer mismatches.,Flapping adjacencies increase CPU usage and delay convergence.,,show ip ospf neighbor,Blaming routing loops,"ospf,flapping",3,v1.1,True,published,52,3-052
D3-053,3.0,3,3.6,3.6.g,D3-fhrp-concepts,FHRP Concepts,What is the purpose of an FHRP virtual IP?,To provide a single default gateway address.,Hosts use the virtual IP regardless of which router is active.,,show standby brief,Assigning physical IP to hosts,"fhrp,virtual-ip",1,v1.1,True,published,53,3-053
D3-054,3.0,3,3.6,3.6.h,D3-fhrp-concepts,FHRP Concepts,What determines HSRP active router selection?,Priority and preemption.,Higher priority wins; preemption allows takeover when available.,,show standby brief,Assuming MAC decides,"fhrp,hsrp,priority",2,v1.1,True,published,54,3-054
D3-055,3.0,3,3.6,3.6.i,D3-fhrp-configuration,FHRP Configuration,How do you set HSRP priority?,Using the standby priority command.,This influences which router becomes active.,interface g0/0 ; standby 1 priority 110,show standby brief,Configuring wrong group,"fhrp,priority,cli",2,v1.1,True,published,55,3-055
D3-056,3.0,3,3.6,3.6.j,D3-fhrp-configuration,FHRP Configuration,What command enables HSRP preemption?,standby preempt.,Preemption allows a higher-priority router to reclaim active status.,interface g0/0 ; standby 1 preempt,show standby brief,Forgetting preempt,"fhrp,preempt",2,v1.1,True,published,56,3-056
D3-057,3.0,3,3.6,3.6.k,D3-fhrp-troubleshooting,FHRP Troubleshooting,What indicates an HSRP state problem?,Both routers in active state.,This usually indicates a misconfiguration or split-brain condition.,,show standby brief,Assuming redundancy is working,"fhrp,troubleshooting",3,v1.1,True,published,57,3-057
D3-058,3.0,3,3.6,3.6.l,D3-fhrp-troubleshooting,FHRP Troubleshooting,What command shows HSRP timers?,show standby timers.,This helps diagnose failover and convergence delays.,,show standby timers,Looking only at priority,"fhrp,timers",2,v1.1,True,published,58,3-058
D3-059,3.0,3,3.1,3.1.f,D3-routing-concepts,Routing Concepts,What protocol table does CEF use for forwarding?,The FIB.,Cisco Express Forwarding uses the FIB and adjacency tables for fast packet switching.,,show ip cef,Confusing CEF with routing table,"cef,forwarding",2,v1.1,True,published,59,3-059
D3-060,3.0,3,3.1,3.1.g,D3-routing-concepts,Routing Concepts,Why is CEF important for performance?,"It enables fast, scalable packet forwarding.",CEF reduces CPU load by precomputing forwarding decisions.,,show ip cef summary,Disabling CEF unnecessarily,"cef,performance",2,v1.1,True,published,60,3-060
D4-001,4.0,4,4.1,4.1.a,D4-dhcp-concepts,DHCP Concepts,What is DHCP used for?,Automatically assigning IP configuration to hosts.,"DHCP provides IP address, subnet mask, gateway, and DNS information dynamically.",,,Assigning IPs manually,"dhcp,ip,addressing",1,v1.1,True,published,1,4-001
D4-002,4.0,4,4.1,4.1.b,D4-dhcp-concepts,DHCP Concepts,What happens during the DHCP Discover step?,The client broadcasts a request for configuration.,Discover is the first step in the DORA process.,,,Thinking Discover is unicast,"dhcp,dora,discover",1,v1.1,True,published,2,4-002
D4-003,4.0,4,4.1,4.1.c,D4-dhcp-concepts,DHCP Concepts,What are the four steps of DHCP (DORA)?,"Discover, Offer, Request, Acknowledge.",DORA describes the full DHCP lease process between client and server.,,,Mixing order of steps,"dhcp,dora,process",1,v1.1,True,published,3,4-003
D4-004,4.0,4,4.1,4.1.d,D4-dhcp-configuration,DHCP Configuration,How do you exclude IP addresses from a DHCP pool?,Using the ip dhcp excluded-address command.,This prevents specific addresses from being leased dynamically.,ip dhcp excluded-address 192.168.1.1 192.168.1.10,show running-config,Forgetting exclusions,"dhcp,excluded-address",2,v1.1,True,published,4,4-004
D4-005,4.0,4,4.1,4.1.e,D4-dhcp-configuration,DHCP Configuration,What command creates a DHCP pool?,ip dhcp pool.,"DHCP pools define network, gateway, and DNS options.",ip dhcp pool LAN1,show ip dhcp pool,Configuring pool before exclusions,"dhcp,pool,cli",2,v1.1,True,published,5,4-005
D4-006,4.0,4,4.1,4.1.f,D4-dhcp-configuration,DHCP Configuration,How do you define the default gateway for DHCP clients?,Using the default-router command.,The default router option supplies the gateway to DHCP clients.,ip dhcp pool LAN1 ; default-router 192.168.1.1,show ip dhcp pool,Using wrong gateway,"dhcp,default-router",2,v1.1,True,published,6,4-006
D4-007,4.0,4,4.1,4.1.g,D4-dhcp-configuration,DHCP Configuration,What command defines DNS servers in DHCP?,dns-server.,This provides DNS server IPs to DHCP clients.,ip dhcp pool LAN1 ; dns-server 8.8.8.8,show ip dhcp pool,Forgetting DNS option,"dhcp,dns",2,v1.1,True,published,7,4-007
D4-008,4.0,4,4.1,4.1.h,D4-dhcp-relay,DHCP Relay,What is the purpose of DHCP relay?,To forward DHCP broadcasts across networks.,Relay converts broadcasts to unicasts toward the DHCP server.,interface vlan 10 ; ip helper-address 192.0.2.50,show running-config interface vlan 10,Forgetting helper on client VLAN,"dhcp,relay,ip-helper",2,v1.1,True,published,8,4-008
D4-009,4.0,4,4.2,4.2.a,D4-dns-concepts,DNS Concepts,What is DNS used for?,Name resolution between hostnames and IP addresses.,DNS translates human-readable names into IP addresses.,,,Thinking DNS assigns IPs,"dns,name-resolution",1,v1.1,True,published,9,4-009
